,park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,lat,lon
90,BARRETT (CHARLES),Barrett  #1,near cermak entrance,2022 W CERMAK RD,2,4/7/17,,,,,,,,,2.6,,,41.8513496,-87.7322808
91,BARTELME (MARY),Bartelme  #1 - High,northwest side of playground,115 S. SANGAMON ST,2,4/26/17,,,,,,,,,2,,,41.7633307,-87.6480051
92,BARTELME (MARY),Bartelme  #1 - Middle,northwest side of playground,115 S. SANGAMON ST,2,4/26/17,,,,,,,,,2,,,41.7633307,-87.6480051
93,BARTELME (MARY),Bartelme  #1 - Low,northwest side of playground,115 S. SANGAMON ST,2,4/26/17,,,,,,,,,2,,,41.7633307,-87.6480051
94,BARTELME (MARY),Bartelme  #2 - High,in dog area,115 S. SANGAMON ST,2,4/26/17,,,,,,,,,2,,,41.7633307,-87.6480051
95,BARTELME (MARY),Bartelme  #2 - Dog,in dog area,115 S. SANGAMON ST,2,4/26/17,,,,,,,,,2,,,41.7633307,-87.6480051
96,BAULER (MATHIAS),Bauler  #1,center of park,517 W WISCONSIN ST,6.51,4/26/17,,,44,9/1/17,,,,,38,40,15,41.9159769,-87.6514858
97,BEEHIVE,Beehive  #1 - High,at park entrance on dorchester,6156 S DORCHESTER AVE,2,4/11/17,,,,,,,,,7.41,,,41.786239,-87.5914722
98,BEEHIVE,Beehive  #1 - Low,at park entrance on dorchester,6156 S DORCHESTER AVE,2,4/11/17,,,,,,,,,6.14,,,41.786239,-87.5914722
99,"BELL (GEORGE,JR.)",Bell  #1,between basketball court and playground,3020 N OAK PARK AVE,2.45,4/8/17,,,66.4,8/19/17,,,,,16.6,19,4.3,41.941812,-87.7958312
100,BERGER (ALBERT),Berger  #1 - High,northeast corner of cultural center,6227 N SHERIDAN RD,2,4/24/17,,,,,,,,,2,,,42.0055568,-87.6609295
101,BERGER (ALBERT),Berger  #1 - Middle,northeast corner of cultural center,6227 N SHERIDAN RD,2,4/24/17,,,,,,,,,2,,,42.0055568,-87.6609295
102,BERGER (ALBERT),Berger  #1 - Low,northeast corner of cultural center,6227 N SHERIDAN RD,2,4/24/17,,,,,,,,,2,,,42.0055568,-87.6609295
103,BESSEMER (HENRY),Bessemer  #1,east end of running track,8930 S MUSKEGON AVE,2,5/4/17,,,,,,,,,2,,,41.7328665,-87.55641629
104,BESSEMER (HENRY),Bessemer  #2,on pool deck,8930 S MUSKEGON AVE,2,6/21/17,,,,,,,,,2,,,41.7328665,-87.55641629
105,BESSEMER (HENRY),Bessemer  #3,southwest area of parking lot,8930 S MUSKEGON AVE,2,5/4/17,,,,,,,,,2,,,41.7328665,-87.55641629
106,BESSEMER (HENRY),Bessemer  #4,across path from tennis courts,8930 S MUSKEGON AVE,2.71,5/4/17,,,,,,,,,6.4,,,41.7328665,-87.55641629
107,BESSEMER (HENRY),Bessemer  #5,50' north of south chicago between baseball diamonds,8930 S MUSKEGON AVE,2,5/4/17,,,,,,,,,2,,,41.7328665,-87.55641629
108,BESSEMER (HENRY),Bessemer  #6,behind pool,8930 S MUSKEGON AVE,4.64,6/21/17,,,,,,,,,,,,41.7328665,-87.55641629
109,BEVERLY,Beverly  #1,maplewood and 101st place,2460 W 102ND ST,2,4/14/17,,,,,,,,,13.9,,,41.7089134,-87.6301637
110,BEVERLY,Beverly  #2 - High,south of fieldhouse on walking path,2460 W 102ND ST,2,4/14/17,,,,,,,,,0.519,,,41.7089134,-87.6301637
111,BEVERLY,Beverly  #2 - Low,south of fieldhouse on walking path,2460 W 102ND ST,2,4/14/17,,,,,,,,,0.523,,,41.7089134,-87.6301637
112,BEVERLY,Beverly  #2 - Dog,south of fieldhouse on walking path,2460 W 102ND ST,2,4/14/17,,,,,,,,,0.549,,,41.7089134,-87.6301637
113,BEVERLY,Beverly  #3 - High,on central path from 103rd,2460 W 102ND ST,2,4/14/17,,,2,6/10/17,,,,,91.4,38,2.1,41.7089134,-87.6301637
114,BEVERLY,Beverly  #3 - Low,on central path from 103rd,2460 W 102ND ST,,,,,2,6/10/17,,,,,,,,41.7089134,-87.6301637
115,BIG MARSH,Big Marsh #1 - BF,bike park entrance,1958 E 116th Street,2,5/30/17,,,,,,,,,,,,41.6845838,-87.5358646
116,BIG MARSH,Big Marsh #1 - Middle,bike park entrance,1958 E 116th Street,2,5/30/17,,,2,7/3/17,,,,,,,,41.6845838,-87.5358646
