park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
BRADLEY (JOSEPHINE),Bradley  #3,"SOUTH OF SOUTH DIAMOND, ON PATH FROM 98TH/BENSLEY ENTRANCE",9729 S YATES AVE,<2.0,5/5/17,,,14.2,7/20/17,6.06,8/8/17,,,17,100,44
BRAINERD,Brainerd  #1 - High,SPRAYPOOL,1246 W 92ND ST,<2.0,4/18/17,,,,,,,,,<0.12,,
BRAINERD,Brainerd  #1 - Middle,SPRAYPOOL,1246 W 92ND ST,<2.0,4/18/17,,,,,,,,,<0.12,,
BRAINERD,Brainerd  #1 - Low,SPRAYPOOL,1246 W 92ND ST,<2.0,4/18/17,,,,,,,,,<0.12,,
BRAINERD,Brainerd  #2,SOUTHEAST OF TENNIS COURTS,1246 W 92ND ST,-,,,,,,,,,,-,,
BRAINERD,Brainerd  #3,NORTHEAST CORNER ON 91ST,1246 W 92ND ST,<2.0,4/18/17,,,,,,,,,5.31,,
BRAINERD,Brainerd  #4,EAST OF FIELDHOUSE ON WALKING PATH,1246 W 92ND ST,<2.0,4/18/17,,,,,,,,,0.694,,
BRANDS,Brands  #1,Southwest corner of tennis courts,3285 N ELSTON AVE,-,,,,,,,,,,-,,
BRANDS,Brands  #2 - High,Northwestof playground,3285 N ELSTON AVE,<2.0,4/18/17,,,,,,,,,2.11,,
BRANDS,Brands  #2 - Middle,Northwestof playground,3285 N ELSTON AVE,<2.0,4/18/17,,,,,,,,,2.19,,
BRANDS,Brands  #2 - Low,Northwestof playground,3285 N ELSTON AVE,<2.0,4/18/17,,,,,,,,,2.08,,
BRANDS,Brands  #3,At southern entrance to park on Elston,3285 N ELSTON AVE,6.11,4/18/17,,,135,6/26/17,,,,,27.8,21,4.7
BRIGHTON,Brighton  #1 - High,"East side of park, east of path in center between play lot and basketball court",3501 S RICHMOND ST,12.1,4/15/17,,,,,,,,,12,,
BRIGHTON,Brighton  #1 - Middle,"East side of park, east of path in center between play lot and basketball court",3501 S RICHMOND ST,11.9,4/15/17,,,,,,,,,13,,
BRIGHTON,Brighton  #1 - Low,"East side of park, east of path in center between play lot and basketball court",3501 S RICHMOND ST,12,4/15/17,,,,,,,,,11.8,,
BROMANN (CHARLES),Bromann  #1 - High,AT ENTRANCE ON BALMORAL,5400 N BROADWAY,<2.0,4/24/17,,,,,,,,,<2.0,,
BROMANN (CHARLES),Bromann  #1 - Middle,AT ENTRANCE ON BALMORAL,5400 N BROADWAY,<2.0,4/24/17,,,,,,,,,<2.0,,
BROMANN (CHARLES),Bromann  #1 - Low,AT ENTRANCE ON BALMORAL,5400 N BROADWAY,<2.0,4/24/17,,,,,,,,,<2.0,,
BRONCHO BILLY,Broncho Billy #1 - High,Center of park,4437 N MAGNOLIA AVE,<2.0,5/1/17,,,,,,,,,4.1,,
BRONCHO BILLY,Broncho Billy #1 - Low,Center of park,4437 N MAGNOLIA AVE,<2.0,5/1/17,,,,,,,,,<2.0,,
BROOKS (GWENDOLYN),Brooks (Gwendolyn)  #1 - High,"Northeast corner of park, on Greenwood",4542 S GREENWOOD AVE,<2.0,5/1/17,,,,,,,,,8.1,,
BROOKS (GWENDOLYN),Brooks (Gwendolyn)  #1 - Low,"Northeast corner of park, on Greenwood",4542 S GREENWOOD AVE,<2.0,5/1/17,,,,,,,,,8.7,,
BROOKS (OSCAR),Brooks (Oscar)  #1 - High,"On driveway, in front of fieldhouse, on Harlem",7100 N HARLEM AVE,138,4/4/17,<2.0,6/8/17,,,,,,,145,58.2,3.57
BROOKS (OSCAR),Brooks (Oscar)  #1 - Low,"On driveway, in front of fieldhouse, on Harlem",7100 N HARLEM AVE,349,4/4/17,<2.0,6/8/17,,,,,,,83,58,3.55
BROOKS (OSCAR),Brooks (Oscar)  #2,"West side of park, on path",7100 N HARLEM AVE,<2.0,4/4/17,,,12.4,8/5/17,,,,,46.5,20.5,2.6
BROWN (SIDNEY) MEML.,Brown Meml.  #1,NORTH OF SPRAY POOL,634 E 86TH ST,<2.0,4/14/17,,,108,6/30/17,,,,,41.6,35,4.8
BROWN (SIDNEY) MEML.,Brown Meml.  #2,"BEHIND SOUTH DIAMOND, ON PATH",634 E 86TH ST,44.1,4/14/17,5.43,5/26/17,6.86,8/5/17,,,,,76.2,70,76
BRYNFORD,Brynford  #1 - High,At entrance on Pulaski,5640 N PULASKI RD,<2.0,4/13/17,,,,,,,,,3.91,,
BRYNFORD,Brynford #1 - Low,At entrance on Pulaski,5640 N PULASKI RD,<2.0,4/13/17,,,,,,,,,3.96,,
